Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1,Logan Webb,28,SFG,NL,4.2,15,11,0.577,3.22,34,34,0,0,0,0,207,210,82,74,14,46,0,224,6,0,2,856,124,2.6,1.237,9.1,0.6,2,9.7,4.87,"AS,CYA-4,GG"
2,Garrett Crochet*,26,BOS,AL,6,18,5,0.783,2.59,32,32,0,1,1,0,205.1,165,62,59,24,46,0,255,3,3,7,814,155,2.89,1.028,7.2,1.1,2,11.2,5.54,"AS,CYA-2,MVP-8"
3,Cristopher Sánchez*,28,PHI,NL,8.1,13,5,0.722,2.5,32,32,0,1,0,0,202,171,58,56,12,44,0,212,6,1,6,807,178,2.55,1.064,7.6,0.5,2,9.4,4.82,"CYA-2,MVP-15"
4,Max Fried*,31,NYY,AL,4.6,19,5,0.792,2.86,32,32,0,0,0,0,195.1,164,73,62,14,51,0,189,10,1,8,801,144,3.07,1.101,7.6,0.6,2.3,8.7,3.71,"AS,CYA-4,GG"
5,Carlos Rodón*,32,NYY,AL,4.7,18,9,0.667,3.09,33,33,0,0,0,0,195.1,132,74,67,22,73,0,203,9,0,4,789,133,3.78,1.049,6.1,1,3.4,9.4,2.78,"AS,CYA-6"
6,Tarik Skubal*,28,DET,AL,6.4,13,6,0.684,2.21,31,31,0,1,1,0,195.1,141,55,48,18,33,0,241,5,2,3,748,187,2.45,0.891,6.5,0.8,1.5,11.1,7.3,"AS,CYA-1,MVP-5"
7,Kevin Gausman,34,TOR,AL,4,10,11,0.476,3.59,32,32,0,1,1,0,193,155,79,77,21,50,2,189,3,2,1,775,121,3.41,1.062,7.2,1,2.3,8.8,3.78,
8,Zac Gallen,29,ARI,NL,0.9,13,15,0.464,4.83,33,33,0,0,0,0,192,176,109,103,31,66,1,175,4,0,2,813,89,4.5,1.26,8.3,1.5,3.1,8.2,2.65,
9,Framber Valdez*,31,HOU,AL,3.5,13,11,0.542,3.66,31,31,0,2,0,0,192,171,82,78,15,68,0,187,7,1,12,802,113,3.37,1.245,8,0.7,3.2,8.8,2.75,
10,Paul Skenes,23,PIT,NL,8,10,10,0.5,1.97,32,32,0,1,0,0,187.2,136,45,41,11,42,0,216,6,0,2,733,224,2.36,0.948,6.5,0.5,2,10.4,5.14,"AS,CYA-1,MVP-6"
11,Bryan Woo,25,SEA,AL,4.3,15,7,0.682,2.94,30,30,0,0,0,0,186.2,137,64,61,26,36,0,198,4,0,3,731,130,3.47,0.927,6.6,1.3,1.7,9.5,5.5,"AS,CYA-5"
12,Zack Littell,29,2TM,2LG,3.3,10,8,0.556,3.81,32,32,0,1,0,0,186.2,174,81,79,36,32,1,130,7,0,3,759,112,4.88,1.104,8.4,1.7,1.5,6.3,4.06,
12,Zack Littell,29,TBR,AL,2.5,8,8,0.5,3.58,22,22,0,1,0,0,133.1,128,53,53,26,21,1,89,5,0,2,537,116,4.92,1.118,8.6,1.8,1.4,6,4.24,
12,Zack Littell,29,CIN,NL,0.7,2,0,1,4.39,10,10,0,0,0,0,53.1,46,28,26,10,11,0,41,2,0,1,222,103,4.77,1.069,7.8,1.7,1.9,6.9,3.73,
13,Hunter Brown,26,HOU,AL,5.9,12,9,0.571,2.43,31,31,0,1,0,0,185.1,133,55,50,17,57,1,206,7,1,0,729,171,3.14,1.025,6.5,0.8,2.8,10,3.61,"AS,CYA-3"
14,Merrill Kelly,36,2TM,2LG,2.7,12,9,0.571,3.52,32,32,0,0,0,0,184,157,79,72,23,48,0,167,2,2,1,748,117,3.76,1.114,7.7,1.1,2.3,8.2,3.48,
14,Merrill Kelly,36,ARI,NL,2.7,9,6,0.6,3.22,22,22,0,0,0,0,128.2,98,53,46,14,38,0,121,1,1,0,514,133,3.58,1.057,6.9,1,2.7,8.5,3.18,
14,Merrill Kelly,36,TEX,AL,0,3,3,0.5,4.23,10,10,0,0,0,0,55.1,59,26,26,9,10,0,46,1,1,1,234,88,4.18,1.247,9.6,1.5,1.6,7.5,4.6,
15,Jesús Luzardo*,27,PHI,NL,3.8,15,7,0.682,3.92,32,32,0,0,0,0,183.2,167,85,80,16,57,0,216,3,1,2,758,113,2.9,1.22,8.2,0.8,2.8,10.6,3.79,CYA-7
16,Tanner Bibee,26,CLE,AL,1,12,11,0.522,4.24,31,31,0,2,1,0,182.1,170,93,86,27,54,1,162,10,1,3,762,97,4.34,1.229,8.4,1.3,2.7,8,3,
17,Robbie Ray*,33,SFG,NL,3,11,8,0.579,3.65,32,32,0,1,0,0,182.1,148,81,74,22,73,0,186,4,1,7,755,109,3.93,1.212,7.3,1.1,3.6,9.2,2.55,AS
18,Nick Pivetta,32,SDP,NL,5,13,5,0.722,2.87,31,31,0,0,0,0,181.2,129,63,58,22,50,1,190,3,0,1,721,147,3.49,0.985,6.4,1.1,2.5,9.4,3.8,CYA-6
